"MaterialType","Materials_Details_EN","Notes"
"人骨(左上腕骨)",,"Needs translation"
"人骨(左下顎骨)",,"Needs translation"
"人骨(左内側楔状骨)",,"Needs translation"
"人骨(左大腿骨)",,"Needs translation"
"人骨(左大腿骨上部)",,"Needs translation"
"人骨(左尺骨)",,"Needs translation"
"人骨(左橈骨)",,"Needs translation"
"人骨(左肋骨)",,"Needs translation"
"人骨（左肋骨片）","human bone left rib bone fragment",""
"人骨(後頭骨)",,"Needs translation"
"人骨（手の指、基節骨）","human bone proximal phlange",""
"人骨(指骨)",,"Needs translation"
"人骨(椎骨)","human bone vertebra",""
"人骨(歯)","human bone tooth",""
"人骨（歯）","teeth, human bone",""
"人骨(焼骨) 肋骨","human bone rib cremated",""
"人骨(肋骨･手骨)","human bone rib",""
"人骨(肋骨･椎骨)","human bone rib vertebra",""
"人骨(肋骨)","human bone rib",""
"人骨(肋骨片)",,"Needs translation"
"人骨(肩甲骨)",,"Needs translation"
"人骨(胸椎)",,"Needs translation"
"人骨(脛骨)",,"Needs translation"
"人骨(腓骨)",,"Needs translation"
"人骨(長骨)","human bone long bone",""
"人骨（長骨）","long bone, human bone",""
"人骨(頭蓋冠)",,"Needs translation"
"人骨（頭蓋片、眼窩上部の破片）","human bone skull fragments",""
"人骨（頭蓋骨）","cranial fragment, human bone",""
"人骨(頭頂骨)",,"Needs translation"
"人骨(頭骨)","human bone skull",""
"人骨（頭骨）","cranial fragment, human bone",""
"人骨(頭骨片)",,"Needs translation"
"人骨(骨片)","human bone bone fragment",""
"人骨片(部位不明)","human bone bone fragment",""
"人骨細片",,"Needs translation"
"住居内採取炭化物 炭化材（クリ）","carbonized material material chestnut (Castanea crenata)",""
"住居内採取炭化物 炭質物","carbonized material charcoal",""
"倒木(ヤマグワ)","fallen tree Chinese mulberry (Morus australis syn bombycis)",""
"偶蹄類臼歯","even-toe ungulate (Artiodactyla) molar tooth",""
"先端加工材(イヌガヤ)","material worked wood plum yew (Cephalotaxus harringtonia)",""
"先端加工材(ウメ)","worked tip of wood (Prunus sp.)",""
"全腐植","humus",""
"出土木（枝）","branch excavated tree",""
"出土木（葉）","excavated tree",""
"出土木製品（軸）","excavated tree wooden items",""
"分解の進んだ植物遺体（草本）","plant plant remains herbaceous plants",""
"分解質泥炭","peat",""
"割り木","split tree",""
"割截杭",,"Needs translation"
"割截杭(アカガシ)",,"Needs translation"
"割截杭(イヌガヤ)",,"Needs translation"
"割截杭(ブナ)",,"Needs translation"
"割枕","bedding material? Again totally stumped on this",""
"加工土器片類 土器付着物（口縁外）","fragments from pottery rim outside edge residue, earthenware depoits",""
"加工土器片類 土器付着物（胴内）","fragments from pottery residue inside fabric?, earthenware depoits",""
"加工土器片類 土器付着物（胴外）","fragments from pottery residue outside, earthenware depoits",""
"加工幹枝",,"Needs translation"
"加工木","worked wood, wood indet.",""
"加工材(クヌギ節)","material worked wood saw-tooth oak (Quercus acutissima)",""
"加工材(モモ)","material worked wood peach (Amygdalus persica syn. Prunus)",""
"動物歯(シカ属の左下顎第2小臼歯)",,"Needs translation"
"動物歯牙（キツネ下顎犬歯）","fox (Vulpes vulpes) canine tooth",""
"動物遺存体 ウマ 右大腿骨骨頭","horse (Equus ferus) right femur",""
"動物骨","animal indet.",""
"動物骨 クジラ目イルカ類? 肋骨","animal indet. dolphin /toothed whales (odontocetes) whale (Cetacea spp.)​ rib",""
"動物骨(イノシシ:上腕骨)",,"Needs translation"
"動物骨(イノシシ:下顎骨R)",,"Needs translation"
"動物骨(イノシシ:四肢骨片)",,"Needs translation"
"動物骨(ウマ:下顎骨)",,"Needs translation"
"動物骨(ウマ)",,"Needs translation"
"動物骨(シカ中手骨)","deer (Cervidae) animal indet. phlanges",""
"動物骨(ブタ:肋骨)",,"Needs translation"
"動物骨(鯨類)",,"Needs translation"
"動物骨片","animal indet. bone fragment",""
"化石マイクロアトール",,"Needs translation"
"半炭化種子(オニグルミ)",,"Needs translation"
"卒塔婆","stupa, wooden grave tablet, wood indet.",""
"単子葉植物(イネ科)","plant monocotyledonous Poaceae",""
"単子葉植物茎","plant stem monocotyledonous",""
"古土壌","paleosol, soil",""
"右大腿骨","right femur",""
"右肋骨","bone - right rib",""
"右腓骨","right fibula",""
"右骨盤","bone -right pelvis",""
"哺乳類四肢骨骨幹部","mammal indet. limb bone",""
"四肢骨片(ウシ）","cattle (Bos taurus) limb bone bone fragment",""
"土","soil",""
"土(根少量混入)","root",""
"土中炭",,"Needs translation"
"土付き炭化物","carbonized material with soil",""
"土器に付く炭化物","carbonized from pottery material",""
"土器に付着した炭化物","carbonized from pottery material residue",""
"土器付着スス","from pottery soot residue",""
"土器付着木質","from pottery residue",""
"土器付着漆","from pottery residue",""
"土器付着漆?","from pottery residue",""
"土器付着漆膜","from pottery residue",""
"土器付着炭","from pottery residue, charcoal",""
"土器付着炭化物","carbonized from pottery material residue",""
"土器付着炭化物 内面（おこげ）試料を採取した土器：個体番号No.2","carbonized from pottery material interior residue sample okage",""
"土器付着炭化物 炭質物","carbonized from pottery material charcoal residue",""
"土器付着炭化物(アサ種実)","carbonized seed/nuts from pottery material residue hemp (Cannabis sativa)",""
"土器付着炭化物(スス)",,"Needs translation"
"土器付着炭化物（スス）","carbonized from pottery material soot residue",""
"土器付着炭化物（内外面）","carbonized from pottery material exterior residue inside and outside",""
"土器付着炭化物(内面)","carbonized from pottery material interior residue",""
"土器付着炭化物(内面底部)","carbonized from pottery material interior residue bottom",""
"土器付着炭化物（口縁外）","carbonized from pottery material rim outside edge residue",""
"土器付着炭化物（口縁外面）","carbonized from pottery material rim exterior outside edge residue, charred material",""
"土器付着炭化物（口縁部内面）","carbonized from pottery material rim interior residue",""
"土器付着炭化物（口縁部外面）","carbonized from pottery material rim exterior residue outer neck",""
"土器付着炭化物(吹きこぼれの可能性大)","carbonized from pottery material residue",""
"土器付着炭化物（壺外面）","carbonized from pottery material exterior residue, charred material",""
"土器付着炭化物（壺胴部外面）","carbonized from pottery material exterior residue body outer neck, charred material",""
"土器付着炭化物（外面 後期初頭）","carbonized from pottery material exterior residue",""
"土器付着炭化物(外面)","carbonized from pottery material exterior residue",""
"土器付着炭化物（底内）","carbonized from pottery material residue in bottom",""
"土器付着炭化物（底部付近外面）","carbonized from pottery material exterior residue bottom",""
"土器付着炭化物（底部内面）","carbonized from pottery material interior residue bottom",""
"土器付着炭化物（復元No.遺10）","carbonized from pottery material residue",""
"土器付着炭化物（復元No.遺2）","carbonized from pottery material residue",""
"土器付着炭化物（復元No.遺5）","carbonized from pottery material residue",""
"土器付着炭化物（深鉢 口縁部外面）","carbonized from pottery material rim exterior residue outer neck",""
"土器付着炭化物（深鉢 胴部外面）","carbonized from pottery material exterior residue body outer neck",""
"土器付着炭化物（深鉢・胴部内面）","carbonized from pottery material interior residue body",""
"土器付着炭化物（深鉢・胴部外面）","carbonized from pottery material exterior residue body outer neck",""
"土器付着炭化物（深鉢）","carbonized from pottery material residue, charred material",""
"土器付着炭化物（深鉢口唇～胴部上半外面）","carbonized from pottery material exterior residue body, charred material",""
"土器付着炭化物（深鉢口縁内）","carbonized from pottery material rim residue inside of",""
"土器付着炭化物（深鉢口縁外）","carbonized from pottery material rim outside edge residue",""
"土器付着炭化物（深鉢口縁部外面）","carbonized from pottery material rim exterior residue outer neck",""
"土器付着炭化物（深鉢外面）","carbonized from pottery material exterior residue, charred material",""
"土器付着炭化物（深鉢外面口縁部）","carbonized from pottery material rim exterior residue",""
"土器付着炭化物（深鉢底内）","carbonized from pottery material residue in bottom",""
"土器付着炭化物（深鉢肩部外面）","carbonized from pottery material exterior residue outer neck, charred material",""
"土器付着炭化物（深鉢胴内）","carbonized from pottery material residue inside fabric?",""
"土器付着炭化物（深鉢胴外）","carbonized from pottery material residue outside",""
"土器付着炭化物（深鉢胴外口縁部）","carbonized from pottery material rim residue outside",""
"土器付着炭化物（深鉢胴部上半外面）","carbonized from pottery material exterior residue body, charred material",""
"土器付着炭化物（深鉢胴部下部内面）","carbonized from pottery material interior residue body lower, charred material",""
"土器付着炭化物（深鉢胴部内面・焦）","carbonized from pottery material interior residue body, charred material",""
"土器付着炭化物（深鉢胴部内面）","carbonized from pottery material interior residue body, charred material",""
"土器付着炭化物（深鉢胴部外面）","carbonized from pottery material exterior residue body outer neck",""
"土器付着炭化物（滋賀里Ⅰ式）深鉢胴部外面","carbonized from pottery material exterior residue body outer neck, charred material",""
"土器付着炭化物（無文深鉢型土器胴部上部外面、スス状に付着）,SGMS-201b","carbonized without from pottery material exterior soot residue body outer neck, charred material",""
"土器付着炭化物（無文深鉢型土器胴部下部内面、お焦げ状に多量に付着）,SGMS-201a","carbonized without from pottery material interior residue body lower, charred material",""
"土器付着炭化物(焦)","carbonized from pottery material residue",""
"土器付着炭化物(煤)","carbonized from pottery material soot residue",""
"土器付着炭化物(煤類)","carbonized from pottery material soot residue",""
"土器付着炭化物（甕・口縁部外面）ふきこぼれ","carbonized from pottery material rim exterior residue outer neck, charred material",""
"土器付着炭化物（甕・肩～胴部外面）煤類","carbonized from pottery material soot exterior residue body outer neck, soot",""
"土器付着炭化物（甕・脚部外面）煤類","carbonized from pottery material soot exterior residue outer neck, soot",""
"土器付着炭化物（甕外面）","carbonized from pottery material exterior residue, charred material",""
"土器付着炭化物（甕胴部外面）","carbonized from pottery material exterior residue body outer neck, charred material",""
"土器付着炭化物（胴下部～底部内面）","carbonized from pottery material interior residue bottom lower",""
"土器付着炭化物（胴内面）","carbonized from pottery material interior residue inside fabric?, charred material",""
"土器付着炭化物（胴外）","carbonized from pottery material residue outside",""
"土器付着炭化物（胴外面）","carbonized from pottery material exterior residue outside, charred material",""
"土器付着炭化物（胴部上位外面）","carbonized from pottery material exterior residue body upper, charred material",""
"土器付着炭化物（胴部下位外面）","carbonized from pottery material exterior residue body lower, charred material",""
"土器付着炭化物（胴部下部外面）","carbonized from pottery material exterior residue body lower outer neck, charred material",""
"土器付着炭化物（胴部内面）","carbonized from pottery material interior residue body",""
"土器付着炭化物（胴部外面）","carbonized from pottery material exterior residue body outer neck",""
"土器付着炭化物（貝殻文尖底 口縁部外面）","carbonized from pottery material shell rim exterior residue outer neck",""
"土器付着炭化物（貝殻文平底 口縁部外面）","carbonized from pottery material shell rim exterior residue outer neck",""
"土器付着炭化物(雑穀?）",,"Needs translation"
"土器付着炭化物深鉢（口縁内）","carbonized from pottery material rim residue inside of",""
"土器付着煤","from pottery soot residue",""
"土器付着煤? ドングリ?",,"Needs translation"
"土器付着煤(炭化物)",,"Needs translation"
"土器付着煤状炭化物","carbonized from pottery material soot residue",""
"土器付着物","from pottery residue",""
"土器付着物 口縁内","from pottery rim residue inside of",""
"土器付着物 口縁外","from pottery rim outside edge residue",""
"土器付着物 口縁外,胴内","from pottery rim outside edge residue inside fabric?",""
"土器付着物 口縁外,胴外","from pottery rim outside edge residue outside",""
"土器付着物 有機物(胎土混じり)","from pottery organic matter residue",""
"土器付着物 樹脂?","from pottery residue resin?",""
"土器付着物 漆","from pottery residue",""
"土器付着物 漆?","from pottery residue",""
"土器付着物 炭化物","carbonized from pottery material residue",""
"土器付着物 胴内","from pottery residue inside fabric?",""
"土器付着物 胴外","from pottery residue outside",""
"土器付着物・内面(おこげ)","from pottery interior residue okage",""
"土器付着物･内面(おこげ)","from pottery interior residue okage",""
"土器付着物･内面（おこげ）","from pottery interior residue okage",""
"土器付着物･内面(クルミ属核破片)","from pottery interior residue walnut (Juglans)",""
"土器付着物・口縁内面",,"Needs translation"
"土器付着物・外面","from pottery exterior residue",""
"土器付着物･外面(ふきこぼれ)","from pottery exterior residue",""
"土器付着物・底内",,"Needs translation"
"土器付着物・甕外面（煤類）","from pottery soot exterior residue, soot",""
"土器付着物・胴下内面",,"Needs translation"
"土器付着物・胴下部内",,"Needs translation"
"土器付着物・胴内",,"Needs translation"
"土器付着物・胴内面",,"Needs translation"
"土器付着物,","from pottery residue",""
"土器付着物,コメ,胴外上","from pottery residue outside rice (Oryza sativa)",""
"土器付着物,ドングリ,底部内面","from pottery interior residue bottom oak (Quercus)",""
"土器付着物,上位・外面","from pottery exterior residue upper",""
"土器付着物,不明,","unknown from pottery residue",""
"土器付着物,不明,不明","unknown from pottery residue",""
"土器付着物,内面","from pottery interior residue",""
"土器付着物,口縁下","from pottery rim residue",""
"土器付着物,口縁下外面","from pottery rim exterior residue",""
"土器付着物,口縁内","from pottery rim residue inside of",""
"土器付着物,口縁内下","from pottery rim residue inside of",""
"土器付着物,口縁外","from pottery rim outside edge residue",""
"土器付着物,口縁外・胴外","from pottery rim outside edge residue outside",""
"土器付着物,口縁外上","from pottery rim outside edge residue",""
"土器付着物,口縁外下","from pottery rim outside edge residue",""
"土器付着物,口縁外面","from pottery rim exterior outside edge residue",""
"土器付着物,口縁突帯下部","from pottery rim residue lower",""
"土器付着物,口縁部・内面","from pottery rim interior residue",""
"土器付着物,口縁部・外面","from pottery rim exterior residue",""
"土器付着物,口縁部下外面（口外）","from pottery rim exterior residue outside rim",""
